type,fixed acidity,good wine,pH,free sulfur dioxide,density,citric acid,residual sugar,total sulfur dioxide,volatile acidity,sulphates,alcohol,chlorides,quality
0,7,True,3,45,1.001,0.36,20.7,170,0.27,0.45,8.8,0.045,6
0,6.3,True,3.3,14,0.994,0.34,1.6,132,0.3,0.49,9.5,0.049,6
0,8.1,True,3.26,30,0.9951,0.4,6.9,97,0.28,0.44,10.1,0.05,6
0,7.2,True,3.19,47,0.9956,0.32,8.5,186,0.23,0.4,9.9,0.058,6
0,7.2,True,3.19,47,0.9956,0.32,8.5,186,0.23,0.4,9.9,0.058,6
0,8.1,True,3.26,30,0.9951,0.4,6.9,97,0.28,0.44,10.1,0.05,6
0,6.2,True,3.18,30,0.9949,0.16,7,136,0.32,0.47,9.6,0.045,6
0,7,True,3,45,1.001,0.36,20.7,170,0.27,0.45,8.8,0.045,6
0,6.3,True,3.3,14,0.994,0.34,1.6,132,0.3,0.49,9.5,0.049,6
0,8.1,True,3.22,28,0.9938,0.43,1.5,129,0.22,0.45,11,0.044,6
0,8.1,False,2.99,11,0.9908,0.41,1.45,63,0.27,0.56,12,0.033,5
0,8.6,False,3.14,17,0.9947,0.4,4.2,109,0.23,0.53,9.7,0.035,5
0,7.9,False,3.18,16,0.992,0.37,1.2,75,0.18,0.63,10.8,0.04,5
0,6.6,True,3.54,48,0.9912,0.4,1.5,143,0.16,0.52,12.4,0.044,7
0,8.3,False,2.98,41,1.0002,0.62,19.25,172,0.42,0.67,9.7,0.04,5
0,6.6,True,3.25,28,0.9914,0.38,1.5,112,0.17,0.55,11.4,0.032,7
0,6.3,True,3.24,30,0.9928,0.04,1.1,99,0.48,0.36,9.6,0.046,6
0,6.2,True,3.33,29,0.9892,0.48,1.2,75,0.66,0.39,12.8,0.029,8
0,7.4,True,3.12,17,0.9917,0.42,1.1,171,0.34,0.53,11.3,0.033,6
0,6.5,False,3.22,34,0.9955,0.14,7.5,133,0.31,0.5,9.5,0.044,5
0,6.2,True,3.33,29,0.9892,0.48,1.2,75,0.66,0.39,12.8,0.029,8
0,6.4,True,3.17,19,0.9912,0.38,2.9,102,0.31,0.35,11,0.038,7
0,6.8,True,3.47,41,0.993,0.42,1.7,122,0.26,0.48,10.5,0.049,8
0,7.6,False,3.05,25,0.9937,0.14,1.5,168,0.67,0.51,9.3,0.074,5
0,6.6,True,3.42,16,0.9951,0.41,1.3,142,0.27,0.47,10,0.052,6
0,7,True,3.25,56,0.9955,0.32,9,245,0.25,0.5,10.4,0.046,6
0,6.9,True,3.45,35,0.993,0.35,1,146,0.24,0.44,10,0.052,6
0,7,True,3.38,32,0.9961,0.39,8.7,141,0.28,0.53,10.5,0.051,6
0,7.4,True,3.19,17,0.9914,0.48,1.1,132,0.27,0.49,11.6,0.047,6
0,7.2,True,3.1,37,0.9906,0.36,2,114,0.32,0.71,12.3,0.033,7
0,8.5,True,3.2,20,0.9974,0.39,10.4,142,0.24,0.53,10,0.044,6
0,8.3,True,3.47,7,0.9934,0.34,1.1,47,0.14,0.4,10.2,0.042,6
0,7.4,True,3.19,31,0.992,0.36,2.05,100,0.25,0.44,10.8,0.05,6
0,6.2,True,3.42,43,0.9939,0.34,1.5,117,0.12,0.51,9,0.045,6
0,5.8,False,3.37,22,0.9962,0.2,14.95,179,0.27,0.37,10.2,0.044,5
0,7.3,False,3.19,21,0.9905,0.43,1.7,123,0.28,0.42,12.8,0.08,5
0,6.5,False,3.24,25,0.9934,0.23,5.4,149,0.39,0.35,10,0.051,5
0,7,True,3.13,38,0.9906,0.32,1.2,138,0.33,0.28,11.2,0.053,6
0,7.3,False,3.21,45,0.9999,0.39,17.95,149,0.24,0.36,8.6,0.057,5
0,7.3,False,3.21,45,0.9999,0.39,17.95,149,0.24,0.36,8.6,0.057,5
0,6.7,True,3.11,63,0.9937,0.39,2.5,158,0.23,0.36,9.4,0.172,6
0,6.7,True,3.1,63,0.9937,0.39,2.9,157,0.24,0.34,9.4,0.173,6
0,7,True,3.13,28,0.9954,0.26,7.4,160,0.31,0.46,9.8,0.069,6
0,6.6,True,3.22,33,0.9934,0.27,1.4,152,0.24,0.56,9.5,0.057,6
0,6.7,True,3.24,33,0.9934,0.26,1.4,154,0.23,0.56,9.5,0.06,6
0,7.4,True,3.16,38,0.9931,0.31,1.4,167,0.18,0.53,10,0.058,7
0,6.2,False,3.27,63,0.994,0.26,4.4,206,0.45,0.52,9.8,0.063,4
0,6.2,False,3.25,62,0.9939,0.25,4.4,207,0.46,0.52,9.8,0.066,5
0,7,True,3.13,28,0.9954,0.26,7.4,160,0.31,0.46,9.8,0.069,6
0,6.9,False,3.36,32,0.995,0.35,5,150,0.19,0.48,9.8,0.067,5
0,7.2,True,3.35,31,0.9917,0.31,1.6,173,0.19,0.44,11.7,0.062,6
0,6.6,True,3.34,39,0.9914,0.29,1.1,124,0.25,0.58,11,0.068,7
0,6.2,True,3.32,21,0.991,0.33,1.1,82,0.16,0.46,10.9,0.057,7
0,6.4,True,3.31,39,0.9911,0.35,1,108,0.18,0.35,10.9,0.045,6
0,6.8,True,3.05,38,0.993,0.59,0.9,132,0.2,0.38,9.1,0.147,6
0,6.9,True,3.13,29,0.9908,0.35,1.3,191,0.25,0.52,11,0.039,6
0,7.2,True,3.09,37,0.9962,0.34,11.9,213,0.21,0.5,9.6,0.043,6
0,6,True,3.3,50,0.9972,0.26,12.4,147,0.19,0.36,8.9,0.048,6
0,6.6,True,3.11,25,0.9931,0.15,4.6,78,0.38,0.38,10.2,0.044,6
0,7.4,True,3.36,44,0.9926,0.36,1.2,111,0.2,0.34,9.9,0.038,6
0,6.8,True,3.03,30,0.9951,0.24,4.9,123,0.22,0.46,8.6,0.092,6
0,6,True,3.3,50,0.9972,0.26,12.4,147,0.19,0.36,8.9,0.048,6
0,7,False,3.02,17,0.991,0.07,1.1,151,0.47,0.34,10.5,0.035,5
0,6.6,True,3.11,25,0.9931,0.15,4.6,78,0.38,0.38,10.2,0.044,6
0,7.2,True,3.15,31,0.9927,0.27,1.4,122,0.24,0.46,10.3,0.038,6
0,6.2,False,3.22,29,0.9934,0.03,1.2,120,0.35,0.54,9.1,0.064,5
0,6.4,True,3.22,27,0.9903,0.24,6.4,124,0.26,0.49,12.6,0.04,7
0,6.7,False,3.14,81,0.992,0.13,1.2,174,0.25,0.42,9.8,0.041,5
0,6.7,True,3.33,30,0.9926,0.31,2.1,96,0.23,0.64,10.7,0.046,8
0,7.4,False,3.13,21,0.9962,0.29,10.1,105,0.24,0.35,9.5,0.05,5
0,6.2,True,3.1,48,0.9956,0.43,7.8,244,0.27,0.51,9,0.056,6
0,6.8,False,3.32,50.5,0.9958,0.23,4.6,238.5,0.3,0.6,9.5,0.061,5
0,6,False,3.69,31,0.9964,0.28,4.8,201,0.27,0.71,10,0.063,5
0,8.6,True,2.95,9,0.9941,0.46,1,72,0.23,0.49,9.1,0.054,6
0,6.7,True,3.33,30,0.9926,0.31,2.1,96,0.23,0.64,10.7,0.046,8
0,7.4,False,3.13,21,0.9962,0.29,10.1,105,0.24,0.35,9.5,0.05,5
0,7.1,True,3.26,31,0.9898,0.36,1.4,87,0.18,0.37,12.7,0.043,7
0,7,True,3.31,20,0.9912,0.34,1.3,69,0.32,0.65,12,0.042,7
